Week_Commencing,Min_High_wind_gust_mph,Ave_High_wind_gust_mph,Max_High_wind_gust_mph,Sum_High_wind_gust_mph,Min_Min_temp_C,Ave_Min_temp_C,Max_Min_temp_C,Sum_Min_temp_C,Min_Max_temp_C,Ave_Max_temp_C,Max_Max_temp_C,Sum_Max_temp_C,Min_Max_rainfall_rate_mm_hr,Ave_Max_rainfall_rate_mm_hr,Max_Max_rainfall_rate_mm_hr,Sum_Max_rainfall_rate_mm_hr,Min_Total_rainfall_mm,Ave_Total_rainfall_mm,Max_Total_rainfall_mm,Sum_Total_rainfall_mm,Min_Avg_temp_C,Ave_Avg_temp_C,Max_Avg_temp_C,Sum_Avg_temp_C,Min_High_avg_wind_speed_mph,Ave_High_avg_wind_speed_mph,Max_High_avg_wind_speed_mph,Sum_High_avg_wind_speed_mph,Min_Total_sunshine_hrs,Ave_Total_sunshine_hrs,Max_Total_sunshine_hrs,Sum_Total_sunshine_hrs,Fencing_Sales
01/01/2018,27.10,38.33,49.00,268.30,-1.00,2.10,5.20,14.70,4.40,7.96,11.30,55.70,0.00,3.60,8.40,25.20,0.00,1.89,6.40,13.20,1.40,4.66,7.40,32.60,16.70,21.10,25.00,147.70,0.00,1.74,7.80,12.20,4457.67
08/01/2018,11.40,18.10,33.80,126.70,0.80,2.73,4.80,19.10,3.20,6.64,8.90,46.50,0.00,1.89,6.00,13.20,0.00,1.11,4.40,7.80,2.30,4.51,5.60,31.60,7.00,10.77,19.70,75.40,0.00,0.07,0.50,0.50,7254.43
15/01/2018,9.60,30.00,62.00,210.00,-0.80,0.96,3.00,6.70,2.70,7.47,10.80,52.30,0.00,3.77,12.00,26.40,0.00,2.83,9.80,19.80,1.00,3.73,6.20,26.10,5.50,16.66,34.50,116.60,0.00,3.67,7.30,25.70,11405.81
22/01/2018,23.90,31.10,42.30,217.70,0.00,4.90,9.00,34.30,6.50,11.10,14.10,77.70,0.00,4.80,25.20,33.60,0.00,1.37,6.50,9.60,4.00,7.60,11.00,53.20,12.40,19.81,29.70,138.70,0.00,2.09,6.20,14.60,9439.66
29/01/2018,19.00,28.96,34.00,202.70,-1.00,0.96,2.70,6.70,3.40,6.81,11.30,47.70,0.00,1.89,6.00,13.20,0.00,1.01,3.10,7.10,2.00,3.79,6.00,26.50,11.50,17.84,20.60,124.90,0.00,2.54,5.00,17.80,16618.45
05/02/2018,15.00,29.14,45.60,204.00,-2.70,-0.53,2.00,-3.70,2.70,5.41,9.50,37.90,0.00,1.37,3.60,9.60,0.00,0.90,4.30,6.30,0.40,2.39,5.90,16.70,9.40,16.71,26.90,117.00,0.00,3.17,7.00,22.20,12222.69
12/02/2018,13.00,24.97,33.80,174.80,-2.80,0.49,2.80,3.40,5.30,7.84,9.30,54.90,0.00,1.20,3.60,8.40,0.00,0.93,2.60,6.50,1.60,4.13,6.50,28.90,8.90,15.11,21.10,105.80,0.00,3.21,8.50,22.50,9608.98
19/02/2018,14.80,24.07,37.40,168.50,-2.90,-0.47,5.80,-3.30,5.10,7.13,10.30,49.90,0.00,1.03,3.60,7.20,0.00,0.19,0.80,1.30,0.10,2.90,8.60,20.30,9.10,15.34,22.90,107.40,0.00,3.67,10.30,25.70,12226.61
26/02/2018,16.10,27.99,40.90,195.90,-7.20,-3.13,2.20,-21.90,-1.80,1.59,7.60,11.10,0.00,2.06,10.80,14.40,0.00,1.80,6.50,12.60,-4.90,-1.14,4.80,-8.00,9.90,18.96,26.70,132.70,0.00,1.43,6.00,10.00,5237.16
05/03/2018,15.90,21.66,31.80,151.60,0.20,2.94,6.80,20.60,8.90,10.51,13.40,73.60,0.00,3.60,6.00,25.20,0.00,3.50,11.00,24.50,4.20,6.49,8.80,45.40,7.80,12.91,18.40,90.40,0.00,1.73,3.80,12.10,11638.42
12/03/2018,18.60,29.11,41.20,203.80,-2.90,1.89,6.60,13.20,0.70,8.61,13.70,60.30,0.00,2.06,8.40,14.40,0.00,1.66,6.60,11.60,-1.20,4.76,8.60,33.30,10.90,17.77,23.70,124.40,0.00,1.27,5.00,8.90,12515.64
19/03/2018,10.30,23.53,39.40,164.70,-0.80,2.76,5.60,19.30,3.80,9.06,12.40,63.40,0.00,0.69,1.20,4.80,0.00,0.36,1.30,2.50,2.10,5.64,7.50,39.50,6.00,14.06,22.20,98.40,0.00,3.77,8.60,26.40,15444.24
26/03/2018,18.60,23.61,28.60,165.30,0.20,2.50,4.30,17.50,7.20,9.49,13.30,66.40,4.80,8.23,19.20,57.60,2.30,7.37,17.00,51.60,3.80,5.34,7.80,37.40,10.70,14.36,18.70,100.50,0.00,1.60,5.80,11.20,12660.08
02/04/2018,12.10,23.13,30.90,161.90,2.10,5.27,7.60,36.90,10.00,12.64,16.60,88.50,0.00,1.03,2.40,7.20,0.00,0.83,3.50,5.80,6.50,8.83,11.00,61.80,6.10,13.59,19.20,95.10,0.00,1.91,11.90,13.40,12498.59
09/04/2018,11.00,16.69,21.70,116.80,5.30,6.19,7.40,43.30,6.70,11.11,18.20,77.80,0.00,1.20,7.20,8.40,0.00,1.00,3.40,7.00,5.90,8.49,11.60,59.40,3.00,6.69,11.80,46.80,0.00,0.73,4.00,5.10,18145.28
