		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 	Soil 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Temp 1	Temp 2	Samp	Tx 	Recept	Int.
01/02/22	0:10	6.2	6.3	6.1	86	4.1	4.0	SW	0.67	11.0	S	5.0	6.2	4.9	2.9	1025.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.084	0.000	20.4	36	4.8	18.8	7.22	 .0754	0.00	5.6	5.0	230	1	100.0	10
01/02/22	0:20	6.3	6.3	6.2	86	4.2	4.0	SSW	0.67	11.0	SSW	5.1	6.3	5.1	3.0	1025.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	20.3	36	4.8	18.7	7.22	 .0754	0.00	5.6	5.0	230	1	100.0	10
01/02/22	0:30	6.4	6.4	6.3	86	4.3	5.0	SSW	0.83	15.0	SSE	4.8	6.4	4.8	2.7	1024.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	20.3	36	4.7	18.7	7.22	 .0753	0.00	5.6	5.0	232	1	100.0	10
01/02/22	0:40	6.4	6.4	6.4	85	4.1	5.0	SSW	0.83	11.0	SSW	4.8	6.4	4.8	2.7	1024.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	20.2	36	4.7	18.6	7.22	 .0754	0.00	5.6	5.0	231	1	100.0	10
01/02/22	0:50	6.5	6.5	6.4	86	4.3	4.0	SSW	0.67	13.0	SSW	5.3	6.4	5.3	3.2	1024.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	20.2	37	5.0	18.6	7.35	 .0754	0.00	5.6	5.0	232	1	100.0	10
01/02/22	1:00	6.5	6.6	6.4	86	4.3	3.0	SSW	0.50	9.0	SSW	5.9	6.4	5.8	3.8	1024.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	20.2	37	5.0	18.6	7.35	 .0754	0.03	5.6	5.0	233	1	100.0	10
01/02/22	1:10	6.6	6.6	6.5	86	4.4	4.0	S	0.67	10.0	SW	5.4	6.5	5.3	3.3	1023.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	20.2	37	5.0	18.6	7.35	 .0753	0.00	6.1	5.0	231	1	100.0	10
01/02/22	1:20	6.7	6.8	6.6	86	4.5	5.0	SW	0.83	14.0	SSW	5.2	6.7	5.1	3.1	1024.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	20.1	37	5.0	18.6	7.35	 .0754	0.00	6.1	5.6	232	1	100.0	10
01/02/22	1:30	6.9	6.9	6.7	86	4.8	4.0	WSW	0.67	12.0	SSW	5.8	6.9	5.8	3.8	1024.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	20.1	37	4.9	18.5	7.35	 .0754	0.00	6.1	5.6	234	1	100.0	10
