		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 	Soil 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Temp 1	Temp 2	Samp	Tx 	Recept	Int.
01/01/22	0:10	12.3	12.3	12.2	94	11.4	7.0	S	1.17	17.0	SSW	11.2	12.4	11.3	9.8	1019.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	23.1	48	11.4	22.8	8.92	 .0739	0.00	11.7	11.7	170	1	74.6	10
01/01/22	0:20	12.3	12.4	12.3	94	11.4	7.0	S	1.17	14.0	SSW	11.2	12.4	11.3	9.8	1019.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	23.1	48	11.4	22.8	8.92	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	0:30	12.4	12.4	12.3	94	11.5	6.0	SSE	1.00	11.0	S	11.6	12.5	11.7	10.1	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	23.1	48	11.4	22.8	8.92	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	0:40	12.4	12.4	12.4	94	11.5	6.0	SSE	1.00	14.0	SE	11.6	12.5	11.7	10.1	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	23.0	49	11.7	22.7	9.05	 .0739	0.00	11.7	11.7	234	1	100.0	10
01/01/22	0:50	12.4	12.5	12.4	94	11.5	7.0	SSE	1.17	11.0	SSE	11.4	12.6	11.5	9.9	1019.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	23.0	49	11.7	22.7	9.05	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	1:00	12.5	12.6	12.4	95	11.7	6.0	S	1.00	11.0	SSW	11.7	12.6	11.8	10.2	1019.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	23.0	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	233	1	100.0	10
01/01/22	1:10	12.6	12.6	12.5	95	11.8	6.0	SSE	1.00	14.0	SSW	11.8	12.7	11.9	10.3	1019.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	22.9	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	233	1	100.0	10
01/01/22	1:20	12.6	12.7	12.6	95	11.8	6.0	SSE	1.00	12.0	SSW	11.8	12.7	11.9	10.3	1019.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	22.9	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	232	1	100.0	10
01/01/22	1:30	12.7	12.7	12.6	95	11.9	5.0	SSE	0.83	11.0	SSW	12.2	12.8	12.3	10.7	1019.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.9	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	232	1	100.0	10
